Event_type,lat,lon,intensity,year,month,day,hour,dayofweek,is_weekend,cluster
Fire,35.2159,-83.5877,6.933423025730715,2026,1,1,0,3,0,4770
Wildfire,35.6419444,-94.6327778,6.329720905522696,2026,1,1,0,3,0,4872
Wildfire,36.0330556,-94.8066667,7.027669375647474,2026,1,1,0,3,0,4872
Fire,34.636389,-81.650833,7.032624261028007,2026,1,1,0,3,0,4770
Fire,33.17875,-79.537472,7.0587581525186645,2026,1,1,0,3,0,-1
Wildfire,35.015,-96.9775,6.754604099487962,2026,1,1,0,3,0,4872
Fire,37.384629,-88.701897,7.232010331664759,2026,1,1,0,3,0,4769
Fire,33.161772,-83.789,7.093404625868766,2026,1,1,0,3,0,4770
Wildfire,36.0866667,-99.2852778,6.436150368369428,2026,1,1,0,3,0,-1
Wildfire,34.8483333,-88.7819444,6.688354713946762,2026,1,1,0,3,0,-1
Wildfire,30.5072222,-85.3222222,6.2166061010848646,2026,1,1,0,3,0,-1
Fire,33.1396,-83.7338,6.697034247666484,2026,1,1,0,3,0,4770
Fire,33.320013,-83.461761,6.825460036255307,2026,1,1,0,3,0,4770
Fire,36.892,-82.462667,7.322510433997394,2026,1,1,0,3,0,-1
Fire,38.416361,-79.283194,7.322510433997394,2026,1,1,0,3,0,-1
Fire,34.555278,-93.309722,8.182559264068665,2026,1,1,0,3,0,4769
Fire,34.778333,-77.1,6.829793737512425,2026,1,1,0,3,0,-1
Wildfire,34.3602778,-95.5191667,7.378383712996714,2026,1,1,0,3,0,4872
Wildfire,44.860117,-108.222067,7.557994958530806,2026,1,1,0,3,0,-1
Wildfire,37.6749,-96.5991,7.351158226430694,2026,1,1,0,3,0,-1
Fire,33.41174,-83.414038,7.165493475060845,2026,1,1,0,3,0,4770
Fire,34.806,-94.216,6.481577129276431,2026,1,1,0,3,0,4769
Fire,34.882067,-93.870917,6.941190055068375,2026,1,1,0,3,0,4769
Fire,31.740833,-92.445278,7.283448228756631,2026,1,1,0,3,0,4769
Wildfire,33.364143,-85.917891,6.928537818164665,2026,1,1,0,3,0,-1
Wildfire,34.2769444,-85.4477778,6.234410725718371,2026,1,1,0,3,0,-1
Fire,32.674783,-87.055383,7.170888478512505,2026,1,1,0,3,0,4770
Fire,35.220783,-84.254,7.55171221535131,2026,1,1,0,3,0,4770
Wildfire,36.426885,-96.280622,8.517393171418904,2026,1,1,0,3,0,-1
Fire,36.90875,-82.450217,7.244941546337007,2026,1,1,0,3,0,-1
Fire,34.644444,-81.683333,6.410174881966167,2026,1,1,0,3,0,4770
Fire,37.655333,-80.07,6.220590170099739,2026,1,1,0,3,0,-1
Fire,33.0131,-83.6682,6.35088571671474,2026,1,1,0,3,0,4770
Fire,33.1793,-83.480883,7.696667081526462,2026,1,1,0,3,0,4770
Fire,33.705185,-96.789282,6.616065185132817,2026,1,1,0,3,0,4769
Wildfire,42.90757,-106.14654,8.746398334109042,2026,1,1,0,3,0,-1
Fire,37.830978,-89.513588,7.1846291527173145,2026,1,1,0,3,0,4769
Fire,34.882067,-93.870917,6.731018100482083,2026,1,1,0,3,0,4769
Fire,34.768276,-93.97866,7.3864708488298945,2026,1,1,0,3,0,4769
Wildfire,36.4266,-96.280967,8.517393171418904,2026,1,1,0,3,0,-1
Fire,32.45655,-107.62402,8.071218539969863,2026,1,1,0,3,0,-1
Fire,33.441667,-85.908056,7.8009820712577405,2026,1,1,0,3,0,4770
Fire,36.955356,-90.68759,6.555356891810665,2026,1,1,0,3,0,4769
Fire,31.372,-91.077,6.648984550024776,2026,1,1,0,3,0,4769
Fire,31.469917,-93.809533,7.755338812846501,2026,1,1,0,3,0,4769
Fire,31.4912,-88.7483,7.00850518208228,2026,1,1,0,3,0,4769
Fire,34.30163,-87.2295,6.75110146893676,2026,1,1,0,3,0,4770
Fire,35.220262,-93.365711,6.51471269087253,2026,1,1,0,3,0,4769
Fire,32.888971,-87.028753,6.955592608396297,2026,1,1,0,3,0,4770
Fire,34.638603,-93.411794,7.644440761556566,2026,1,1,0,3,0,4769
Fire,34.411944,-94.313611,6.823286122355687,2026,1,1,0,3,0,4769
Fire,34.338967,-94.71035,6.2166061010848646,2026,1,1,0,3,0,4769
Fire,33.943442,-82.402642,6.35088571671474,2026,1,1,0,3,0,4770
Fire,33.931944,-82.478506,6.558197802812269,2026,1,1,0,3,0,4770
Fire,34.467222,-81.575,7.165493475060845,2026,1,1,0,3,0,4770
Fire,37.432883,-91.098967,7.252053951852814,2026,1,1,0,3,0,4769
Fire,33.1448,-83.7738,6.234410725718371,2026,1,1,0,3,0,4770
Fire,37.44427,-88.552696,6.76849321164863,2026,1,1,0,3,0,4769
Fire,36.890617,-90.526367,7.271703706887368,2026,1,1,0,3,0,4769
Wildfire,30.310367,-84.812867,7.469083884921234,2026,1,1,0,3,0,-1
Fire,33.235117,-83.812067,7.5480289699350145,2026,1,1,0,3,0,4770
Fire,34.5875,-93.784444,7.655864017616056,2026,1,1,0,3,0,4769
Fire,34.314694,-87.3185,6.694562058521095,2026,1,1,0,3,0,4770
Fire,33.380666,-85.906632,7.434257382133135,2026,1,1,0,3,0,4770
Fire,32.127716,-92.874123,7.24850407237061,2026,1,1,0,3,0,4769
Fire,31.25011,-95.187895,8.301521654940728,2026,1,1,0,3,0,4769
Fire,31.27175,-93.7682,7.732369222284388,2026,1,1,0,3,0,4769
Fire,34.642028,-93.5005,7.4318919168078,2026,1,1,0,3,0,4769
Fire,33.81055556,-95.70388889,6.621405651764134,2026,1,1,0,3,0,4769
Fire,34.768276,-93.97866,7.820439515262181,2026,1,1,0,3,0,4769
Fire,30.525217,-95.635033,6.881411303642535,2026,1,1,0,3,0,4769
Fire,35.257,-93.4343,7.409741954080923,2026,1,1,0,3,0,4769
Fire,32.981519,-87.507098,7.291656209174461,2026,1,1,0,3,0,4770
Fire,31.1053,-92.616,6.639875833826536,2026,1,1,0,3,0,4769
Fire,35.7,-93.911,7.244941546337007,2026,1,1,0,3,0,4769
Fire,36.4452,-94.0487,6.2878585601617845,2026,1,1,0,3,0,4769
Fire,34.958417,-93.514833,7.53955882930103,2026,1,1,0,3,0,4769
Wildfire,36.3578,-96.3132,8.517393171418904,2026,1,1,0,3,0,-1
Fire,31.356667,-110.305833,7.135687347028144,2026,1,1,0,3,0,-1
